,Район,Адрес,Площадь,clean_address,latitude,longitude
1753,Фрунзенский,"Плодовый сад на Софийской ул., д.46, корп.2",4.42,санкт-петербург улица Софийская дом 46  корпус 2,59.8702076,30.4049963
1754,Фрунзенский,"сквер б/н на ул.Турку, д.4, корп.1",1.42,санкт-петербург улица Турку дом 4  корпус 1,59.869157,30.3546946
1755,Фрунзенский,"сквер б/н на Бухарестской ул., д.124/56",1.08,санкт-петербург улица Бухарестская дом 124/56,59.8440404,30.3996674
1756,Фрунзенский,"сквер б/н на Белградской ул. между д.46 и д.52, корп.1",6.37,санкт-петербург улица Белградская дом 46,59.8486002,30.3591151
1757,Фрунзенский,сквер б/н на пересечении Бухарестской ул. и ул.Фучика,10.01,санкт-петербург улица Бухарестская ,59.8624253,30.3794348
1758,Фрунзенский,"сквер б/н на Бухарестской ул., д.150",0.41,санкт-петербург улица Бухарестская дом 150,59.8312753,30.4124977
1759,Фрунзенский,Федоровский сквер на Дунайском пр. между Загребским бульв. и Бухарестской ул.,10.04,санкт-петербург проспект Дунайский ,59.8338014,30.3623441
1760,Фрунзенский,"сквер б/н на Дунайском пр., д.51, корп.2, и д.53, корп.2",3.61,санкт-петербург проспект Дунайский дом 51  корпус 2,59.8417411,30.4056481
1761,Фрунзенский,сквер б/н на пересечении ул.Олеко Дундича и Купчинской ул.,0.4,санкт-петербург улица Олеко Дундича ,59.830349,30.3978213
1762,Фрунзенский,"сквер б/н на Купчинской ул., д.28",0.45,санкт-петербург улица Купчинская дом 28,59.8456975,30.3699536
