Район города,Номер по списку,Наименование,"Площадь, га",Основание
Московский,11187,сквер б/н на пересечении Московского пр. и Детского пер.,0.2,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11188,"сквер б/н на Пулковском шоссе, д.3",0.68,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11189,"сквер б/н на ул.Типанова, д.25",0.55,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11190,"сквер б/н на Благодатной ул., д.20",0.13,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11191,бульвар б/н на ул.Гастелло,0.86,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11192,сквер б/н на пересечении Московского пр. и Заставской ул.,0.05,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11193,бульвар б/н на ул.Победы от Варшавской ул. до Бассейной ул.,1.27,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11194,сквер б/н на Московском пр. между д.195 и д.197,0.69,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11195,сквер б/н на пересечении ул.Пилотов и Штурманской ул.,0.25,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11196,сквер б/н на пересечении Московского пр. и ул.Фрунзе,0.86,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11197,"сквер б/н на Витебском пр., д.27",1.08,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
